Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Two Sum;Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. Assume exactly one solution and you may not use the same element twice.;"// Example
// nums = [2,7,11,15], target = 9
// Output: [0,1]";Hash Map (value→index);Scan and check if target - x was seen.;"Iterate nums; for each x at i, if (target-x) in map, return [map[target-x], i]; otherwise store x→i.";O(n);O(n);https://leetcode.com/problems/two-sum/;Array, Hash Map, Easy, Meta;"from typing import List
def twoSum(nums: List[int], target: int) -> List[int]:
    seen = {}
    for i, x in enumerate(nums):
        y = target - x
        if y in seen:
            return [seen[y], i]
        seen[x] = i";
Add Two Numbers;You are given two non-empty linked lists representing two non-negative integers in reverse order. Add the two numbers and return the sum as a linked list.;"// Example
// l1 = [2,4,3], l2 = [5,6,4] -> [7,0,8]";Linked List + Carry;Simulate grade-school addition with carry.;"Traverse both lists with carry; create new nodes for each digit; append remaining carry if needed.";O(m+n);O(1) extra;https://leetcode.com/problems/add-two-numbers/;Linked List, Math, Medium, Meta;"class ListNode:
    def __init__(self,val=0,next=None):
        self.val,self.next=val,next
def addTwoNumbers(l1: ListNode, l2: ListNode) -> ListNode:
    dummy=tail=ListNode()
    carry=0
    while l1 or l2 or carry:
        v=carry+(l1.val if l1 else 0)+(l2.val if l2 else 0)
        carry,v=divmod(v,10)
        tail.next=ListNode(v); tail=tail.next
        l1=l1.next if l1 else None
        l2=l2.next if l2 else None
    return dummy.next";
Valid Parentheses;Given a string s containing only '()[]{}', determine if the input string is valid.;"// Example
// s = ""()[]{}"" -> true; s = ""(]"" -> false";Stack;"Push opening; on closing, check stack top matches.";"Use a map close→open; iterate chars updating stack; valid if stack empty at end.";O(n);O(n);https://leetcode.com/problems/valid-parentheses/;Stack, String, Easy, Meta;"def isValid(s: str) -> bool:
    mp={')':'(',']':'[','}':'{'}
    st=[]
    for c in s:
        if c in '([{': st.append(c)
        else:
            if not st or st.pop()!=mp[c]: return False
    return not st";
Merge Intervals;Given an array of intervals where intervals[i] = [start_i, end_i], merge all overlapping intervals.;"// Example
// [[1,3],[2,6],[8,10],[15,18]] -> [[1,6],[8,10],[15,18]]";Sort + One Pass;"Sort by start; merge when current.start ≤ last.end.";"After sorting, initialize with first interval; for each next, if overlap, extend end = max; else append.";O(n log n);O(1) extra;https://leetcode.com/problems/merge-intervals/;Intervals, Sorting, Medium, Meta;"from typing import List
def merge(intervals: List[List[int]]) -> List[List[int]]:
    intervals.sort()
    res=[]
    for s,e in intervals:
        if not res or s>res[-1][1]:
            res.append([s,e])
        else:
            res[-1][1]=max(res[-1][1],e)
    return res";
Meeting Rooms II;Given an array of meeting time intervals consisting of start and end times, find the minimum number of conference rooms required.;"// Example
// [[0,30],[5,10],[15,20]] -> 2";Min-Heap of end times;"Sort by start; pop ends ≤ start; push current end.";"Keep heap of ongoing meeting end times; size is rooms needed; track max size.";O(n log n);O(n);https://leetcode.com/problems/meeting-rooms-ii/;Intervals, Heap, Medium, Meta;"import heapq
from typing import List
def minMeetingRooms(intervals: List[List[int]]) -> int:
    intervals.sort()
    h=[]
    best=0
    for s,e in intervals:
        while h and h[0]<=s: heapq.heappop(h)
        heapq.heappush(h,e)
        best=max(best,len(h))
    return best";
Number of Islands;Given a 2D grid map of '1's (land) and '0's (water), return the number of islands.;"// Example
// grid = [[""1"",""1"",""0""],[""0"",""1"",""0""],[""1"",""0"",""1""]] -> 3";DFS/BFS flood fill;"Scan cells; when '1' found, flood fill and increment.";Use DFS to mark connected land as visited (flip to '0' or use visited set).;O(m*n);O(m*n);https://leetcode.com/problems/number-of-islands/;Graph, DFS/BFS, Medium, Meta;"from typing import List
def numIslands(grid: List[List[str]]) -> int:
    if not grid: return 0
    m,n=len(grid),len(grid[0])
    def dfs(i,j):
        if i<0 or i>=m or j<0 or j>=n or grid[i][j]!=""1"": return
        grid[i][j]=""0""
        dfs(i+1,j); dfs(i-1,j); dfs(i,j+1); dfs(i,j-1)
    cnt=0
    for i in range(m):
        for j in range(n):
            if grid[i][j]==""1"":
                cnt+=1; dfs(i,j)
    return cnt";
Clone Graph;Given a reference of a node in a connected undirected graph, return a deep copy of the graph.;// Example graph: 1-2-3-4 (undirected cycles);Graph traversal + map;"Map original→clone; BFS/DFS neighbors.";"Create node clones lazily when visiting neighbors; reuse via dict to avoid cycles.";O(V+E);O(V);https://leetcode.com/problems/clone-graph/;Graph, BFS/DFS, Medium, Meta;"from collections import deque
class Node:
    def __init__(self, val=0, neighbors=None):
        self.val=val; self.neighbors=neighbors or []
def cloneGraph(node: 'Node') -> 'Node':
    if not node: return None
    mp={node:Node(node.val)}
    q=deque([node])
    while q:
        u=q.popleft()
        for v in u.neighbors:
            if v not in mp:
                mp[v]=Node(v.val); q.append(v)
            mp[u].neighbors.append(mp[v])
    return mp[node]";
Course Schedule;Given numCourses and prerequisites, determine if it's possible to finish all courses.;// Example: num=2, prereq=[[1,0]] -> true;Topological Sort (Kahn);BFS over in-degree 0 nodes.;"Build adjacency and in-degrees; process queue; valid if processed count == numCourses.";O(V+E);O(V+E);https://leetcode.com/problems/course-schedule/;Graph, Topo Sort, Medium, Meta;"from collections import deque, defaultdict
from typing import List
def canFinish(numCourses: int, prerequisites: List[List[int]]) -> bool:
    adj=defaultdict(list); indeg=[0]*numCourses
    for a,b in prerequisites:
        adj[b].append(a); indeg[a]+=1
    q=deque([i for i in range(numCourses) if indeg[i]==0])
    seen=0
    while q:
        u=q.popleft(); seen+=1
        for v in adj[u]:
            indeg[v]-=1
            if indeg[v]==0: q.append(v)
    return seen==numCourses";
Word Break;Given a string s and a dictionary wordDict, return true if s can be segmented.;// Example: s='leetcode', dict=['leet','code'] -> true;DP over prefixes;dp[i]=any dp[j] and s[j:i] in dict.;"Use boolean dp; iterate i and limited word lengths.";O(n*L);O(n);https://leetcode.com/problems/word-break/;DP, String, Medium, Meta;"from typing import List
def wordBreak(s: str, wordDict: List[str]) -> bool:
    words=set(wordDict); maxL=max(map(len,words)) if words else 0
    n=len(s); dp=[False]*(n+1); dp[0]=True
    for i in range(1,n+1):
        for L in range(1,min(maxL,i)+1):
            if dp[i-L] and s[i-L:i] in words:
                dp[i]=True; break
    return dp[n]";
Palindrome Linked List;Return true if a singly linked list is a palindrome.;// Example: [1,2,2,1] -> true;Middle + reverse second half;"Reverse second half; compare halves.";Slow/fast to mid, reverse, compare.;O(n);O(1);https://leetcode.com/problems/palindrome-linked-list/;Linked List, Two Pointers, Easy, Meta;"class ListNode:
    def __init__(self,val=0,next=None):
        self.val,self.next=val,next
def isPalindrome(head: ListNode) -> bool:
    slow=fast=head
    while fast and fast.next:
        slow=slow.next; fast=fast.next.next
    prev=None; cur=slow
    while cur:
        nxt=cur.next; cur.next=prev; prev,cur=cur,nxt
    p1,p2=head,prev
    while p2:
        if p1.val!=p2.val: return False
        p1=p1.next; p2=p2.next
    return True";
