Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Validate Binary Search Tree;Given the root of a binary tree, determine if it is a valid binary search tree (BST). A valid BST is defined as: the left subtree of a node contains only nodes with keys less than the node's key, and the right subtree contains only nodes with keys greater than the node's key. Both the left and right subtrees must also be BSTs.;"// Example
// root = [2,1,3] -> true
// root = [5,1,4,null,null,3,6] -> false";DFS with min/max bounds;Carry (low, high) bounds down the recursion.;"Recurse ensuring low < node.val < high at each step; update bounds for left/right; null nodes are valid.";O(n);O(h);https://leetcode.com/problems/validate-binary-search-tree/;Tree, DFS, Meta, Medium;"class TreeNode:
    def __init__(self,val=0,left=None,right=None):
        self.val,self.left,self.right=val,left,right
def isValidBST(root: TreeNode) -> bool:
    def dfs(node, low, high):
        if not node: return True
        if not (low < node.val < high): return False
        return dfs(node.left, low, node.val) and dfs(node.right, node.val, high)
    return dfs(root, float('-inf'), float('inf'))";
Invert Binary Tree;Invert a binary tree by swapping the left and right children of every node.;"// Example
// [4,2,7,1,3,6,9] -> [4,7,2,9,6,3,1]";DFS (preorder);Swap children recursively.;"Base: null returns; swap left/right; recurse on children.";O(n);O(h);https://leetcode.com/problems/invert-binary-tree/;Tree, DFS, Easy, Meta;"class TreeNode:
    def __init__(self,val=0,left=None,right=None):
        self.val,self.left,self.right=val,left,right
def invertTree(root: TreeNode) -> TreeNode:
    if not root: return None
    root.left, root.right = root.right, root.left
    invertTree(root.left); invertTree(root.right)
    return root";
Binary Tree Right Side View;Given the root of a binary tree, imagine standing on the right side of it and return the values of the nodes you can see ordered from top to bottom.;"// Example
// [1,2,3,null,5,null,4] -> [1,3,4]";BFS by levels;Take the last node at each level.;"Level-order traverse; append value of the last node popped for that layer.";O(n);O(n);https://leetcode.com/problems/binary-tree-right-side-view/;Tree, BFS, Medium, Meta;"from collections import deque
class TreeNode:
    def __init__(self,val=0,left=None,right=None):
        self.val,self.left,self.right=val,left,right
def rightSideView(root: TreeNode):
    if not root: return []
    q=deque([root]); res=[]
    while q:
        size=len(q)
        for i in range(size):
            node=q.popleft()
            if node.left: q.append(node.left)
            if node.right: q.append(node.right)
            if i==size-1: res.append(node.val)
    return res";
Diameter of Binary Tree;Given the root of a binary tree, return the length of the diameter of the tree (the number of edges on the longest path between any two nodes).;"// Example
// [1,2,3,4,5] -> 3";DFS returning height;Track max left_height + right_height.;"Postorder compute height; update a global diameter with l+r at each node; return 1+max(l,r).";O(n);O(h);https://leetcode.com/problems/diameter-of-binary-tree/;Tree, DFS, Easy, Meta;"class TreeNode:
    def __init__(self,val=0,left=None,right=None):
        self.val,self.left,self.right=val,left,right
def diameterOfBinaryTree(root: TreeNode) -> int:
    ans=0
    def h(node):
        nonlocal ans
        if not node: return 0
        L=h(node.left); R=h(node.right)
        ans=max(ans,L+R)
        return 1+max(L,R)
    h(root); return ans";
Balanced Binary Tree;Given a binary tree, determine if it is height-balanced (the left and right subtrees of every node differ in height by no more than 1).;"// Example
// [3,9,20,null,null,15,7] -> true";DFS returning height or -inf;Return -1 on imbalance to short-circuit.;"Compute heights bottom-up; if any |L-R|>1 return -1; final >=0 indicates balanced.";O(n);O(h);https://leetcode.com/problems/balanced-binary-tree/;Tree, DFS, Easy, Meta;"class TreeNode:
    def __init__(self,val=0,left=None,right=None):
        self.val,self.left,self.right=val,left,right
def isBalanced(root: TreeNode) -> bool:
    def h(node):
        if not node: return 0
        L=h(node.left); 
        if L<0: return -1
        R=h(node.right)
        if R<0 or abs(L-R)>1: return -1
        return 1+max(L,R)
    return h(root) >= 0";
Kth Smallest Element in a BST;Given the root of a binary search tree and an integer k, return the kth smallest value (1-indexed) in the tree.;"// Example
// root = [3,1,4,null,2], k=1 -> 1";Inorder traversal;Inorder yields sorted order.;Do iterative inorder and return the k-th popped value.;O(h+k);O(h);https://leetcode.com/problems/kth-smallest-element-in-a-bst/;BST, Stack, Medium, Meta;"class TreeNode:
    def __init__(self,val=0,left=None,right=None):
        self.val,self.left,self.right=val,left,right
def kthSmallest(root: TreeNode, k: int) -> int:
    st=[]; cur=root
    while True:
        while cur: st.append(cur); cur=cur.left
        cur=st.pop(); k-=1
        if k==0: return cur.val
        cur=cur.right";
Lowest Common Ancestor of a BST;Given a BST, find the lowest common ancestor (LCA) of two nodes p and q.;"// Example
// BST with nodes (2,8) under 6 -> LCA=6";BST property traversal;Move towards p and q based on values.;"If both p and q less than root, go left; if both greater, go right; else root is LCA.";O(h);O(1);https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/;BST, Tree, Easy, Meta;"class TreeNode:
    def __init__(self,val=0,left=None,right=None):
        self.val,self.left,self.right=val,left,right
def lowestCommonAncestor(root: TreeNode, p: TreeNode, q: TreeNode) -> TreeNode:
    a,b=min(p.val,q.val),max(p.val,q.val)
    cur=root
    while cur:
        if b < cur.val: cur=cur.left
        elif a > cur.val: cur=cur.right
        else: return cur";
Binary Tree Zigzag Level Order Traversal;Given the root of a binary tree, return the zigzag level order traversal of its nodes' values. (i.e., from left to right, then right to left for the next level and alternate between).;"// Example
// [3,9,20,null,null,15,7] -> [[3],[20,9],[15,7]]";BFS with direction toggle;Reverse list on odd levels or append in reverse order.;"Standard level-order traversal; reverse the current level when needed before appending to the result.";O(n);O(n);https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/;Tree, BFS, Medium, Meta;"from collections import deque
class TreeNode:
    def __init__(self,val=0,left=None,right=None):
        self.val,self.left,self.right=val,left,right
def zigzagLevelOrder(root: TreeNode):
    if not root: return []
    q=deque([root]); res=[]; rev=False
    while q:
        cur=[]
        for _ in range(len(q)):
            x=q.popleft(); cur.append(x.val)
            if x.left: q.append(x.left)
            if x.right: q.append(x.right)
        if rev: cur.reverse()
        res.append(cur); rev=not rev
    return res";
Construct Binary Tree from Preorder and Inorder Traversal;Given two integer arrays preorder and inorder, construct and return the binary tree.;"// Example
// preorder=[3,9,20,15,7], inorder=[9,3,15,20,7]";Hash map + recursion;"Root from preorder; split by inorder index.";"Use map of inorder value→index; recurse on segments using preorder pointer.";O(n);O(n);https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/;Tree, Divide and Conquer, Medium, Meta;"class TreeNode:
    def __init__(self,val=0,left=None,right=None):
        self.val,self.left,self.right=val,left,right
def buildTree(preorder, inorder):
    idx={v:i for i,v in enumerate(inorder)}
    it=iter(preorder)
    def rec(l,r):
        if l>r: return None
        v=next(it); m=idx[v]
        node=TreeNode(v)
        node.left=rec(l,m-1)
        node.right=rec(m+1,r)
        return node
    return rec(0,len(inorder)-1)";
Implement Trie (Prefix Tree);Design and implement a Trie with insert, search, and startsWith operations.;"// Example
// insert(""apple""), search(""apple"") -> true, startsWith(""app"") -> true";Tree of hash maps;Each node maps char→child plus end flag.;"Walk/create nodes for insert; for search, walk and check end flag; for startsWith, just walk.";O(L) per op;O(total chars);https://leetcode.com/problems/implement-trie-prefix-tree/;Trie, Design, Medium, Meta;"class TrieNode:
    def __init__(self):
        self.ch={} ; self.end=False
class Trie:
    def __init__(self):
        self.root=TrieNode()
    def insert(self, word: str) -> None:
        cur=self.root
        for c in word:
            cur=cur.ch.setdefault(c,TrieNode())
        cur.end=True
    def search(self, word: str) -> bool:
        cur=self.root
        for c in word:
            if c not in cur.ch: return False
            cur=cur.ch[c]
        return cur.end
    def startsWith(self, prefix: str) -> bool:
        cur=self.root
        for c in prefix:
            if c not in cur.ch: return False
            cur=cur.ch[c]
        return True";
