Problem Name;Description;Example;Algorithm;Short Solution;Solution;Time Complexity;Space Complexity;Link;Tags;Code;Comments
Best Time to Buy and Sell Stock;Given an array prices where prices[i] is the price of a stock on the ith day, return the maximum profit you can achieve from a single buy and a single sell. If no profit is possible, return 0.;"Input:
  prices = [7,1,5,3,6,4]
Output:
  5  # buy at 1, sell at 6";One Pass (track min);"Track running minimum price; update best profit with price - min_so_far.";"Scan once keeping min_so_far and best; at each price p, min_so_far=min(min_so_far,p) and best=max(best,p-min_so_far).";O(n);O(1);https://leetcode.com/problems/best-time-to-buy-and-sell-stock/;greedy array easy;"from typing import List
def maxProfit(prices: List[int]) -> int:
    best = 0; mn = 10**9
    for p in prices:
        mn = min(mn, p)
        best = max(best, p - mn)
    return best";
Best Time to Buy and Sell Stock II;You may complete as many transactions as you like (buy one and sell one share of the stock multiple times). Find the maximum profit.;"Input:
  prices = [7,1,5,3,6,4]
Output:
  7  # (5-1)+(6-3)";Greedy (sum positive diffs);Sum all positive day-to-day increases.;Accumulate max(0, prices[i]-prices[i-1]) over i to capture every ascent.;O(n);O(1);https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/;greedy array medium;"from typing import List
def maxProfit2(prices: List[int]) -> int:
    return sum(max(0, b - a) for a, b in zip(prices, prices[1:]))";
Best Time to Buy and Sell Stock III;At most two transactions are allowed. Return the maximum profit.;"Input:
  prices = [3,3,5,0,0,3,1,4]
Output:
  6";DP with 4 states;Maintain buy1,sell1,buy2,sell2 and update in one pass.;"buy1=min(buy1,p), sell1=max(sell1,p-buy1); buy2=min(buy2,p-sell1), sell2=max(sell2,p-buy2).";O(n);O(1);https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/;dp greedy hard;"from typing import List
def maxProfit3(prices: List[int]) -> int:
    import math
    buy1 = buy2 = math.inf
    sell1 = sell2 = 0
    for p in prices:
        buy1 = min(buy1, p)
        sell1 = max(sell1, p - buy1)
        buy2 = min(buy2, p - sell1)
        sell2 = max(sell2, p - buy2)
    return sell2";
Best Time to Buy and Sell Stock with Cooldown;You may complete as many transactions as you like with a cooldown of one day after selling. Return the maximum profit.;"Input:
  prices = [1,2,3,0,2]
Output:
  3";DP on states (hold/sold/rest);Transition between hold, sold, and rest states per day.;"hold = max(hold, rest - p); sold = hold_prev + p; rest = max(rest, sold_prev).";O(n);O(1);https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/;dp medium;"from typing import List
def maxProfit_cooldown(prices: List[int]) -> int:
    hold = -10**9; sold = 0; rest = 0
    for p in prices:
        prev_hold, prev_sold, prev_rest = hold, sold, rest
        hold = max(prev_hold, prev_rest - p)
        sold = prev_hold + p
        rest = max(prev_rest, prev_sold)
    return max(sold, rest)";
Best Time to Buy and Sell Stock with Transaction Fee;Return max profit with any number of transactions where each sell incurs a fee.;"Input:
  prices = [1,3,2,8,4,9], fee = 2
Output:
  8";DP (hold/cash);"cash=max(cash, hold+p-fee); hold=max(hold, cash-p).";Standard two-state DP representing not holding (cash) and holding a stock (hold).;O(n);O(1);https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/;dp greedy medium;"from typing import List
def maxProfit_fee(prices: List[int], fee: int) -> int:
    cash, hold = 0, -10**9
    for p in prices:
        cash = max(cash, hold + p - fee)
        hold = max(hold, cash - p)
    return cash";
Jump Game;Given an array of non-negative integers nums where each element represents your maximum jump length, determine if you can reach the last index.;"Input:
  nums = [2,3,1,1,4]
Output:
  true";Greedy farthest reach;"Maintain farthest index reachable; ensure i never surpasses farthest.";"Update far=max(far, i+nums[i]) while i≤far; success if far ≥ last index.";O(n);O(1);https://leetcode.com/problems/jump-game/;greedy array medium;"from typing import List
def canJump(nums: List[int]) -> bool:
    far = 0
    for i, x in enumerate(nums):
        if i > far: return False
        far = max(far, i + x)
    return True";
Maximum Product Subarray;Given an integer array nums, find a contiguous non-empty subarray within the array that has the largest product.;"Input:
  nums = [2,3,-2,4]
Output:
  6";Track max/min ending here;Swap on negative, update max_prod and min_prod.;"Keep cur_max and cur_min; for x<0 swap them; cur_max=max(x,cur_max*x); cur_min=min(x,cur_min*x).";O(n);O(1);https://leetcode.com/problems/maximum-product-subarray/;dp array medium;"from typing import List
def maxProduct(nums: List[int]) -> int:
    cur_max = cur_min = ans = nums[0]
    for x in nums[1:]:
        if x < 0: cur_max, cur_min = cur_min, cur_max
        cur_max = max(x, cur_max * x)
        cur_min = min(x, cur_min * x)
        ans = max(ans, cur_max)
    return ans";
Maximal Square;Given a binary matrix filled with '0' and '1', find the largest square containing only 1's and return its area.;"Input:
  matrix = [[""1"",""0"",""1"",""0"",""0""],[""1"",""0"",""1"",""1"",""1""],[""1"",""1"",""1"",""1"",""1""],[""1"",""0"",""0"",""1"",""0""]]
Output:
  4";DP (1D);"dp[j]=min(top,left,top-left)+1 when cell is 1; track max side.";Roll a 1D array with prev_diag to compute square sizes efficiently.;O(m*n);O(n);https://leetcode.com/problems/maximal-square/;dp matrix medium;"from typing import List
def maximalSquare(matrix: List[List[str]]) -> int:
    if not matrix: return 0
    m, n = len(matrix), len(matrix[0])
    dp = [0]*(n+1)
    best = 0
    for i in range(1, m+1):
        prev = 0
        for j in range(1, n+1):
            temp = dp[j]
            if matrix[i-1][j-1] == '1':
                dp[j] = min(dp[j], dp[j-1], prev) + 1
                best = max(best, dp[j])
            else:
                dp[j] = 0
            prev = temp
    return best * 1 * best";
Word Ladder;Given two words beginWord and endWord, and a dictionary wordList, return the length of the shortest transformation sequence from beginWord to endWord (one letter per step, each intermediate word must exist).;"Input:
  beginWord = ""hit"", endWord = ""cog"", wordList = [""hot"",""dot"",""dog"",""lot"",""log"",""cog""]
Output:
  5  # hit→hot→dot→dog→cog";BFS with pattern map;Precompute wildcards (e.g., h*t) → words, then BFS.;"For each popped word, expand neighbors via pattern map; mark visited to avoid repeats.";O(N * L^2);O(N * L);https://leetcode.com/problems/word-ladder/;bfs graph hard;"from collections import defaultdict, deque
from typing import List
def ladderLength(beginWord: str, endWord: str, wordList: List[str]) -> int:
    if endWord not in wordList: return 0
    L = len(beginWord)
    mp = defaultdict(list)
    for w in wordList + [beginWord]:
        for i in range(L):
            mp[w[:i] + '*' + w[i+1:]].append(w)
    q = deque([(beginWord, 1)])
    vis = {beginWord}
    while q:
        w, d = q.popleft()
        if w == endWord: return d
        for i in range(L):
            for nb in mp[w[:i] + '*' + w[i+1:]]:
                if nb not in vis:
                    vis.add(nb); q.append((nb, d+1))
            mp[w[:i] + '*' + w[i+1:]] = []
    return 0";
Network Delay Time;You are given a directed weighted graph times where times[i] = [u, v, w]. Return the time for all nodes to receive the signal sent from node k. If impossible, return -1.;"Input:
  n = 4, times = [[2,1,1],[2,3,1],[3,4,1]], k = 2
Output:
  2";Dijkstra (min-heap);"Run Dijkstra from source; answer is max distance if all reachable.";Use adjacency list and heap of (dist,node).;O(E log V);O(E);https://leetcode.com/problems/network-delay-time/;graph dijkstra medium;"import heapq
from collections import defaultdict
from typing import List
def networkDelayTime(times: List[List[int]], n: int, k: int) -> int:
    g = defaultdict(list)
    for u,v,w in times: g[u].append((v,w))
    dist = {i: float('inf') for i in range(1, n+1)}
    dist[k] = 0
    h = [(0, k)]
    while h:
        d, u = heapq.heappop(h)
        if d > dist[u]: continue
        for v, w in g[u]:
            nd = d + w
            if nd < dist[v]:
                dist[v] = nd
                heapq.heappush(h, (nd, v))
    ans = max(dist.values())
    return -1 if ans == float('inf') else ans";
